Soil_Type,Duration,Area,N,P,K,pH,Moisture,Month,Crop
Red,Long,1.58,76,57,47,6.51,23,6,Cotton
Loamy,Long,0.83,20,11,80,5.94,49,7,Onion
Sandy,Long,2.83,20,11,80,5.94,49,8,Millet
Loamy,Short,2.59,,,,,,9,Spinach
Sandy,Long,2.19,35,42,44,5.93,40,10,Millet
Sandy,Long,4.01,96,20,65,6.36,26,11,Carrot
Clay,Short,4.19,38,69,71,7.01,48,12,Wheat
Sandy,Long,4.64,104,14,76,6.41,12,1,Carrot
Loamy,Short,4.11,113,18,80,5.6,38,2,Tomato
Red,Long,0.54,54,54,100,5.96,51,3,Cotton
Sandy,Long,0.75,113,25,36,7.12,27,4,Millet
Loamy,Short,3.38,93,40,15,5.82,19,5,Tomato
Clay,Long,3.5,,,,,,6,Wheat
Loamy,Short,1.61,63,50,35,6.52,35,7,Chilli
Loamy,Short,3.62,94,29,75,5.75,30,8,Spinach
Clay,Short,2.95,,,,,,9,Rice
Loamy,Short,4.78,52,77,16,7.22,27,10,Onion
Clay,Long,3.7,,,,,,11,Wheat
Red,Short,2.68,,,,,,12,Maize
Loamy,Short,3.12,,,,,,1,Onion
Sandy,Short,2.04,,,,,,2,Sugarcane
Loamy,Long,3.29,,,,,,3,Maize
Red,Short,4.56,47,79,78,5.7,60,4,Millet
Clay,Long,1.9,85,50,45,6.8,30,5,Wheat
Loamy,Short,0.7,25,15,70,6.1,55,6,Cabbage
Sandy,Long,2.1,110,20,60,6.5,20,7,Groundnut
Red,Short,3,70,30,40,6,45,8,Potato
Loamy,Long,1.2,90,55,50,7.2,35,9,Soybean
Clay,Short,2.5,40,80,25,7,50,10,Tomato
Sandy,Long,3.8,100,10,90,6.2,28,11,Cotton
Red,Short,1,65,35,60,6.7,40,12,Rice
Loamy,Long,4.5,120,40,40,6.3,33,1,Sugarcane
Clay,Short,0.9,50,70,30,7.1,58,2,Onion
Sandy,Long,2.3,95,25,65,6,25,3,Wheat
Red,Short,3.1,80,45,55,6.6,42,4,Chilli
Loamy,Long,1.8,75,18,75,5.9,47,5,Carrot
Clay,Short,2.7,30,60,20,6.9,52,6,Spinach
Sandy,Long,4.2,105,15,85,6.4,22,7,Millet
Red,Short,0.6,55,28,50,6.5,38,8,Potato
Loamy,Long,3.4,88,62,48,7.3,30,9,Soybean
Clay,Short,1.1,45,75,35,6.8,55,10,Cabbage
